OrderID,CurrClinNameAll,ClinCityCode,state_code,MedicalDirector,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDHealthSnglLB_TransRate1,FshNDHealthSnglLB_TransRate2,FshNDHealthSnglLB_TransRate3,FshNDHealthSnglLB_TransRate4,FshNDHealthSnglLB_TransRate5,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDHealthSnglLB_TransRate1,ThwNDHealthSnglLB_TransRate2,ThwNDHealthSnglLB_TransRate3,ThwNDHealthSnglLB_TransRate4,ThwNDHealthSnglLB_TransRate5,state_code,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,DonorEgg,DonorEmbryo,EmbryoCryo,EggCryo,SingleWomen,Surrogates,SART_Member,ClinStateCode,state_code
133,IVFMD/South Florida Institute for Reproductive Medicine,SOUTH MIAMI,FL,"Juergen Eisermann, MD",48.7,58.7,23.6,4,0 / 4,29.6,37,12.7,4,0 / 4,64.1,62.5,54.7,32.4,59.1,43.6,45.5,34.9,32.4,40.9,FL,115,46,55,25,4,,181,88,86,37,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FLORIDA,FL
134,The Reproductive Medicine Group,TAMPA,FL,"Timothy R. Yeko, MD",54.5,4 / 9,,0 / 1,,39.4,2 / 9,,0 / 1,,56.6,60.8,52.3,6 / 17,2 / 3,44,46.4,43.1,5 / 17,2 / 3,FL,33,9,0,1,0,,182,97,65,17,3,Yes,No,Yes,Yes,Yes,Yes,Yes,FLORIDA,FL
135,University of South Florida IVF,TAMPA,FL,"Shayne M. Plosker, MD",45.5,39.5,24.1,1 / 17,0 / 5,28.6,31.6,17.2,0 / 17,0 / 5,56.3,55.6,3 / 15,2 / 8,0 / 7,29.2,44.4,2 / 15,0 / 8,0 / 7,FL,77,38,29,17,5,,48,27,15,8,7,Yes,No,Yes,Yes,Yes,Yes,Yes,FLORIDA,FL
136,"F.I.R.S.T., Florida Institute for Reproductive Sciences and Technologies",WESTON,FL,"Minna R. Selub, MD",1 / 9,1 / 3,0 / 3,0 / 1,,0 / 9,0 / 3,0 / 3,0 / 1,,1 / 2,1 / 1,1 / 3,,,1 / 2,1 / 1,0 / 3,,,FL,9,3,3,1,0,,2,1,3,0,0,Yes,No,Yes,Yes,Yes,Yes,Yes,FLORIDA,FL
137,"Advanced Reproductive Specialists, LLC",WINTER PARK,FL,"Michael D. Fox, MD",2 / 4,0 / 1,0 / 1,0 / 1,,2 / 4,0 / 1,0 / 1,0 / 1,,0 / 1,1 / 2,0 / 3,,,0 / 1,1 / 2,0 / 3,,,FL,4,1,1,1,0,,1,2,3,0,0,Yes,No,Yes,Yes,Yes,Yes,Yes,FLORIDA,FL
138,"Fertility CARE, The IVF Center",WINTER PARK,FL,"Mark P. Trolice, MD",3 / 6,0 / 1,0 / 1,0 / 1,0 / 1,3 / 6,0 / 1,0 / 1,0 / 1,0 / 1,49.1,42.9,16.1,2 / 4,0 / 2,43.9,40,6.5,2 / 4,0 / 2,FL,6,1,1,1,1,,57,35,31,4,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FLORIDA,FL
139,Atlanta Center for Reproductive Medicine,ATLANTA,GA,"James P. Toner, MD, PhD",40.3,39.4,28.6,1 / 5,0 / 4,34.1,33.3,23.8,1 / 5,0 / 4,44.9,51.5,38.7,7 / 18,2 / 5,36.7,44.3,30.6,5 / 18,1 / 5,GA,129,33,21,5,4,,196,97,62,18,5,Yes,No,Yes,Yes,Yes,Yes,Yes,GEORGIA,GA
140,Emory Reproductive Center,ATLANTA,GA,"Jennifer F. Kawwass, MD",62.9,55.6,28.9,6 / 16,4 / 13,44.3,33.3,15.6,5 / 16,4 / 13,39,55,31.8,3 / 9,0 / 2,31.7,35,9.1,2 / 9,0 / 2,GA,97,54,45,16,13,,41,20,22,9,2,Yes,No,Yes,Yes,Yes,Yes,Yes,GEORGIA,GA
141,Shady Grove Fertility-Atlanta,ATLANTA,GA,"Mark Perloe, MD",48.4,2 / 11,1 / 7,1 / 4,0 / 2,41.9,0 / 11,1 / 7,1 / 4,0 / 2,44.4,40.3,45.2,3 / 10,3 / 9,35.4,29,35.5,2 / 10,2 / 9,GA,31,11,7,4,2,,99,62,62,10,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GEORGIA,GA
142,Reproductive Biology Associates,ATLANTA,GA,"Daniel B. Shapiro, MD",39,25.9,31.8,2 / 7,1 / 4,33.8,14.8,27.3,1 / 7,1 / 4,50.5,50.8,45.8,32.7,24.2,36.5,36.3,35.9,21.8,24.2,GA,77,27,22,7,4,,323,179,142,55,33,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GEORGIA,GA
143,Reproductive Medicine and Infertility Associates,AUGUSTA,GA,"Larisa Gavrilova-Jordan, MD",61.1,6 / 12,2 / 7,3 / 4,0 / 2,44.4,2 / 12,0 / 7,2 / 4,0 / 2,52.4,2 / 5,1 / 4,0 / 3,0 / 1,9.5,2 / 5,1 / 4,0 / 3,0 / 1,GA,36,12,7,4,2,,21,5,4,3,1,No,No,Yes,Yes,Yes,Yes,Yes,GEORGIA,GA
144,"Servy Massey Fertility Institute, Servy Institute for Reproductive Endocrinology",AUGUSTA,GA,"Edouard J. Servy, MD",47.1,22,25,5 / 14,16.7,30.9,10,12.5,4 / 14,13.3,29.6,36,3 / 7,2 / 5,0 / 2,14.8,16,3 / 7,2 / 5,0 / 2,GA,68,50,40,14,30,,27,25,7,5,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GEORGIA,GA
145,"Columbus Center for Reproductive Endocrinology and Infertility, LLC",COLUMBUS,GA,"Prakash J. Thiruppathi, MD",41.9,0 / 5,3 / 8,0 / 1,0 / 1,23.3,0 / 5,3 / 8,0 / 1,0 / 1,38.5,3 / 7,2 / 4,1 / 1,,19.2,1 / 7,1 / 4,1 / 1,,GA,43,5,8,1,1,,26,7,4,1,0,Yes,Yes,Yes,Yes,Yes,Yes,No,GEORGIA,GA
146,The Georgia Center for Reproductive Medicine,SAVANNAH,GA,"Patrick L. Blohm, MD",61.4,55.6,1 / 13,3 / 6,0 / 1,30,40.7,0 / 13,2 / 6,0 / 1,27.3,3 / 15,0 / 5,1 / 4,0 / 5,27.3,2 / 15,0 / 5,1 / 4,0 / 5,GA,70,27,13,6,1,,22,15,5,4,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GEORGIA,GA
147,Advanced Reproductive Center of Hawaii,HONOLULU,HI,"Christopher T. Huang, MD",,,,,,,,,,,52.9,5 / 18,57.1,4 / 14,0 / 10,47.1,3 / 18,42.9,2 / 14,0 / 10,HI,0,0,0,0,0,,34,18,21,14,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,HAWAII,HI
148,"Advanced Reproductive Medicine & Gynecology of Hawaii, Inc.",HONOLULU,HI,"John L. Frattarelli, MD",6 / 13,2 / 4,1 / 4,1 / 3,0 / 3,4 / 13,0 / 4,1 / 4,1 / 3,0 / 3,46.6,43.5,61.8,4 / 9,2 / 6,26.1,30.4,41.2,4 / 9,1 / 6,HI,13,4,4,3,3,,88,46,34,9,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,HAWAII,HI
149,IVF Hawaii,HONOLULU,HI,"Benton H. Chun, MD",5 / 11,6 / 9,5 / 14,1 / 7,3 / 9,2 / 11,4 / 9,2 / 14,1 / 7,3 / 9,47.8,6 / 10,6 / 17,0 / 4,1 / 1,34.8,1 / 10,4 / 17,0 / 4,1 / 1,HI,11,9,14,7,9,,23,10,17,4,1,Yes,No,Yes,Yes,Yes,Yes,No,HAWAII,HI
150,Pacific In Vitro Fertilization Institute,HONOLULU,HI,"Thomas S. Kosasa, MD",5 / 19,4 / 18,1 / 12,1 / 15,1 / 13,3 / 19,2 / 18,1 / 12,1 / 15,1 / 13,52.6,36.4,35,1 / 13,3 / 10,23.7,21.2,20,1 / 13,1 / 10,HI,19,18,12,15,13,,38,33,20,13,10,No,No,Yes,Yes,Yes,Yes,Yes,HAWAII,HI
151,Tripler Army Medical Center IVF Institute,TRIPLER AMC,HI,"Nia R. Middleton, MD",52,2 / 5,1 / 5,1 / 4,,36,1 / 5,1 / 5,0 / 4,,13 / 18,5 / 10,2 / 3,1 / 2,0 / 1,7 / 18,3 / 10,1 / 3,0 / 2,0 / 1,HI,25,5,5,4,0,,18,10,3,2,1,Yes,No,Yes,Yes,Yes,No,Yes,HAWAII,HI
152,Idaho Center for Reproductive Medicine,BOISE,ID,"Cristin C. Slater, MD",53.2,4 / 8,1 / 6,0 / 1,0 / 1,29.8,1 / 8,1 / 6,0 / 1,0 / 1,56.2,45.9,55.6,3 / 7,1 / 5,40.4,27,33.3,3 / 7,1 / 5,ID,47,8,6,1,1,,89,37,27,7,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,IDAHO,ID
153,Rush-Copley Center for Reproductive Health,AURORA,IL,"Zvi Binor, MD",37.5,4.3,0 / 19,0 / 6,0 / 1,29.2,0,0 / 19,0 / 6,0 / 1,0 / 14,1 / 8,0 / 5,0 / 1,,0 / 14,0 / 8,0 / 5,0 / 1,,IL,48,23,19,6,1,,14,8,5,1,0,Yes,No,Yes,No,Yes,Yes,No,ILLINOIS,IL
154,Fertility Centers of Illinois-River North IVF,CHICAGO,IL,"Christopher Sipe, MD",49.7,34.9,36.2,10.1,4.9,39,24,24.5,7.6,2.4,45.5,40.6,25.3,41.1,24.3,35,32.4,20.9,35.6,18.9,IL,479,229,188,79,41,,411,256,158,73,37,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ILLINOIS,IL
155,Institute for Human Reproduction (IHR),CHICAGO,IL,"David P. Cohen, MD",36.4,6 / 13,2 / 7,0 / 8,1 / 10,31.8,4 / 13,2 / 7,0 / 8,1 / 10,44.9,33.3,37.5,6 / 17,0 / 8,35.7,24.2,30,6 / 17,0 / 8,IL,22,13,7,8,10,,98,33,40,17,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ILLINOIS,IL
156,Northwestern Fertility and Reproductive Medicine,CHICAGO,IL,"Mary Ellen Pavone, MD",46.5,32.8,27.2,13.8,8.7,37.9,28.7,21,10.3,4.3,58.5,49.4,42,3 / 13,6 / 11,45.1,37.3,34,3 / 13,6 / 11,IL,198,122,81,58,23,,142,83,50,13,11,Yes,No,Yes,Yes,Yes,Yes,Yes,ILLINOIS,IL
157,University of Chicago Medicine Center for Reproductive Medicine and Fertility,CHICAGO,IL,"Helen Kim, MD",4 / 10,4 / 10,4 / 12,1 / 6,0 / 3,3 / 10,3 / 10,3 / 12,1 / 6,0 / 3,26.1,6 / 12,6 / 8,3 / 3,1 / 3,13,4 / 12,6 / 8,2 / 3,0 / 3,IL,10,10,12,6,3,,23,12,8,3,3,Yes,No,Yes,Yes,Yes,Yes,Yes,ILLINOIS,IL
158,University of Illinois at Chicago IVF Program,CHICAGO,IL,"Humberto Scoccia, MD",42.5,7 / 19,24.2,1 / 7,1 / 6,27.5,5 / 19,21.2,1 / 7,1 / 6,40,4 / 7,4 / 9,0 / 1,0 / 2,28,2 / 7,4 / 9,0 / 1,0 / 2,IL,40,19,33,7,6,,25,7,9,1,2,Yes,No,Yes,Yes,Yes,No,Yes,ILLINOIS,IL
159,Women's Health Consultants,CHICAGO,IL,"Mary W. Molo, MD",6 / 18,43.5,22.7,1 / 10,1 / 9,6 / 18,30.4,18.2,1 / 10,1 / 9,23.9,20,6 / 18,0 / 3,1 / 5,13,16,3 / 18,0 / 3,1 / 5,IL,18,23,22,10,9,,46,25,18,3,5,Yes,Yes,Yes,Yes,Yes,Yes,No,ILLINOIS,IL
160,Center for Reproductive Health/Joliet IVF,CREST HILL,IL,"Scott Springer, DO",2 / 9,5 / 10,0 / 12,0 / 1,,1 / 9,3 / 10,0 / 12,0 / 1,,36.8,5 / 13,0 / 5,1 / 3,1 / 5,27.9,5 / 13,0 / 5,0 / 3,0 / 5,IL,9,10,12,1,0,,68,13,5,3,5,Yes,No,Yes,Yes,Yes,Yes,No,ILLINOIS,IL
161,Midwest Fertility Center,DOWNERS GROVE,IL,"Amos E. Madanes, MD",14.9,12.5,2 / 16,1 / 9,1 / 12,6.4,4.2,2 / 16,1 / 9,0 / 12,2 / 12,1 / 10,1 / 8,0 / 2,0 / 2,1 / 12,0 / 10,1 / 8,0 / 2,0 / 2,IL,47,24,16,9,12,,12,10,8,2,2,Yes,No,Yes,Yes,Yes,Yes,Yes,ILLINOIS,IL
162,"Davies Fertility & IVF Specialists, SC",GLENVIEW,IL,"Susan A. Davies, MD",42.9,3 / 17,1 / 14,2 / 3,3 / 10,38.1,2 / 17,1 / 14,1 / 3,2 / 10,51.7,11 / 19,8 / 13,2 / 6,0 / 1,36.7,9 / 19,6 / 13,2 / 6,0 / 1,IL,21,17,14,3,10,,60,19,13,6,1,Yes,No,Yes,Yes,Yes,Yes,Yes,ILLINOIS,IL
163,Advanced Fertility Center of Chicago,GURNEE,IL,"Richard P. Sherbahn, MD",53.5,43.9,28.6,21.7,1 / 9,33.3,29.8,21.4,17.4,0 / 9,67.1,57.1,74.2,10 / 13,2 / 3,47.6,41.3,71,8 / 13,2 / 3,IL,198,57,56,23,9,,143,63,31,13,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ILLINOIS,IL
164,Fertility Centers of Illinois-Highland Park IVF Center,HIGHLAND PARK,IL,"Brian R. Kaplan, MD",43.3,37.5,26.8,3 / 18,0 / 16,30,19.6,22,3 / 18,0 / 16,48.4,47,41.2,31.3,33.3,40.1,37,32.1,26.6,20.8,IL,60,56,41,18,16,,312,200,131,64,24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ILLINOIS,IL
165,Hinsdale Center for Reproduction,HINSDALE,IL,"Michael J. Hickey, MD",1 / 3,2 / 3,0 / 3,0 / 1,,0 / 3,1 / 3,0 / 3,0 / 1,,39.1,3 / 12,2 / 8,0 / 1,1 / 1,26.1,0 / 12,2 / 8,0 / 1,1 / 1,IL,3,3,3,1,0,,23,12,8,1,1,No,No,Yes,Yes,Yes,No,Yes,ILLINOIS,IL
166,InVia Fertility Specialists,HOFFMAN ESTATES,IL,"Vishvanath C. Karande, MD",60,28.1,6 / 16,1 / 7,0 / 5,40,21.9,5 / 16,1 / 7,0 / 5,48.6,49.3,40.9,3 / 11,1 / 3,35.1,38.7,29.5,3 / 11,1 / 3,IL,70,32,16,7,5,,148,75,44,11,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ILLINOIS,IL
167,"Reena Jabamoni, MD, SC",HOFFMAN ESTATES,IL,"Reena Jabamoni, MD",2 / 8,1 / 3,,1 / 1,0 / 2,0 / 8,0 / 3,,1 / 1,0 / 2,6 / 16,3 / 4,0 / 1,,0 / 1,6 / 16,2 / 4,0 / 1,,0 / 1,IL,8,3,0,1,2,,16,4,1,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ILLINOIS,IL
168,"The Advanced IVF Institute, Charles E. Miller, MD, SC & Associates",NAPERVILLE,IL,"Charles E. Miller, MD",61.6,50,26.5,13,1 / 8,35.6,31.5,17.6,4.3,0 / 8,56.3,53.7,54.8,4 / 10,5 / 14,26.8,37,35.5,4 / 10,5 / 14,IL,73,54,34,23,8,,112,54,31,10,14,Yes,No,Yes,Yes,Yes,Yes,Yes,ILLINOIS,IL
169,IVF1,NAPERVILLE,IL,"Randy S. Morris, MD",34.6,3 / 13,1 / 2,2 / 6,0 / 2,23.1,1 / 13,1 / 2,2 / 6,0 / 2,56,62.2,62.8,11 / 18,2 / 5,47,45.9,44.2,8 / 18,2 / 5,IL,26,13,2,6,2,,166,74,43,18,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ILLINOIS,IL
170,Reproductive Medicine Institute,OAK BROOK,IL,"Elena Trukhacheva, MD",44.9,33.3,18.2,16.2,0 / 13,32.3,17.5,13,13.5,0 / 13,47.5,30.4,30.6,26.9,6 / 15,34.5,23.5,23.6,26.9,3 / 15,IL,127,63,77,37,13,,200,102,72,26,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ILLINOIS,IL
171,"Daniel Rostein, MD, SC",OAK BROOK,IL,"Daniel A. Rostein, MD",,,0 / 1,,,,,0 / 1,,,,,,,,,,,,,IL,0,0,1,0,0,,0,0,0,0,0,Yes,Yes,Yes,No,Yes,Yes,No,ILLINOIS,IL
172,Sher Institute for Reproductive Medicine-Central Illinois,PEORIA,IL,"Adelina M. Emmi, MD",28,3 / 19,0 / 2,0 / 2,0 / 1,24,2 / 19,0 / 2,0 / 2,0 / 1,26.2,1 / 12,4 / 10,2 / 5,1 / 1,23.8,1 / 12,3 / 10,2 / 5,1 / 1,IL,50,19,2,2,1,,42,12,10,5,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ILLINOIS,IL
173,Advanced Reproductive Center,ROCKFORD,IL,"Todd D. Deutch, MD",47.2,9 / 17,3 / 9,1 / 6,,27.8,6 / 17,1 / 9,0 / 6,,12 / 18,2 / 4,1 / 3,0 / 1,,7 / 18,2 / 4,1 / 3,0 / 1,,IL,36,17,9,6,0,,18,4,3,1,0,Yes,Yes,Yes,Yes,Yes,Yes,No,ILLINOIS,IL
174,Reproductive Health and Fertility Center,ROCKFORD,IL,"Chiravudh Sawetawan, MD",11.4,6 / 14,1 / 6,0 / 4,0 / 1,11.4,3 / 14,1 / 6,0 / 4,0 / 1,22.7,4 / 10,,0 / 7,,22.7,2 / 10,,0 / 7,,IL,44,14,6,4,1,,44,10,0,7,0,,,,,,,,ILLINOIS,IL
175,Chicago IVF,SKOKIE,IL,"Joel G. Brasch, MD",28.8,22.1,11.5,0,0 / 9,17.9,7.4,3.8,0,0 / 9,20.4,12.3,7.1,0 / 11,0 / 7,16.8,3.5,3.6,0 / 11,0 / 7,IL,156,68,52,26,9,,113,57,28,11,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ILLINOIS,IL
176,North Shore Fertility,SKOKIE,IL,"Anne Borkowski, MD",3 / 9,0 / 4,1 / 16,0 / 8,0 / 10,0 / 9,0 / 4,0 / 16,0 / 8,0 / 10,8.3,2 / 11,2 / 13,1 / 8,0 / 5,0,0 / 11,0 / 13,0 / 8,0 / 5,IL,9,4,16,8,10,,24,11,13,8,5,No,No,Yes,Yes,Yes,No,No,ILLINOIS,IL
177,Southern Illinois University School of Medicine Fertility and IVF Center,SPRINGFIELD,IL,"J. Ricardo Loret de Mola, MD",61.1,40.6,5 / 11,2 / 6,,43.1,28.1,5 / 11,1 / 6,,7 / 18,2 / 2,3 / 4,0 / 2,,4 / 18,1 / 2,2 / 4,0 / 2,,IL,72,32,11,6,0,,18,2,4,2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ILLINOIS,IL
178,Vios Fertility Institute,SWANSEA,IL,"Amber Cooper, MD",12 / 19,5 / 13,1 / 8,0 / 1,0 / 2,7 / 19,3 / 13,1 / 8,0 / 1,0 / 2,52.2,3 / 12,3 / 4,,,47.8,2 / 12,2 / 4,,,IL,19,13,8,1,2,,23,12,4,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ILLINOIS,IL
179,"Seth Levrant, MD, PC, Partners in Reproductive Health",TINLEY PARK,IL,"Seth G. Levrant, MD",44,2 / 6,2 / 13,0 / 3,,36,0 / 6,2 / 13,0 / 3,,3 / 16,0 / 1,2 / 5,1 / 1,,1 / 16,0 / 1,1 / 5,1 / 1,,IL,25,6,13,3,0,,16,1,5,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ILLINOIS,IL
180,Midwest Fertility Specialists,CARMEL,IN,"Laura M. Reuter, MD",34.8,25.6,1 / 15,0 / 7,0 / 2,21.3,15.4,1 / 15,0 / 7,0 / 2,50.7,37.9,28.9,1 / 4,0 / 2,38.8,31.8,26.3,1 / 4,0 / 2,IN,89,39,15,7,2,,201,66,38,4,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,INDIANA,IN
181,"Advanced Reproduction Institute, LLC, Advanced Fertility Group",EVANSVILLE,IN,"William L. Gentry, MD",36,4 / 12,4 / 11,0 / 4,0 / 2,18,1 / 12,2 / 11,0 / 4,0 / 2,40.6,1 / 4,0 / 4,0 / 1,2 / 2,28.1,0 / 4,0 / 4,0 / 1,1 / 2,IN,50,12,11,4,2,,32,4,4,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,INDIANA,IN
182,Advanced Fertility Group,INDIANAPOLIS,IN,"William L. Gentry, MD",59.1,3 / 8,0 / 5,1 / 3,,45.5,1 / 8,0 / 5,1 / 3,,6 / 12,3 / 7,2 / 5,1 / 3,0 / 2,5 / 12,3 / 7,2 / 5,1 / 3,0 / 2,IN,22,8,5,3,0,,12,7,5,3,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,INDIANA,IN
183,Community Reproductive Endocrinology,INDIANAPOLIS,IN,"David E. Carnovale, MD",56,2 / 8,1 / 2,,,28,2 / 8,0 / 2,,,39.5,30.8,2 / 9,1 / 3,,26.3,23.1,2 / 9,1 / 3,,IN,25,8,2,0,0,,38,26,9,3,0,No,No,Yes,Yes,Yes,No,Yes,INDIANA,IN
184,"Family Beginnings, PC",INDIANAPOLIS,IN,"James G. Donahue, MD",25.6,1 / 10,1 / 12,0 / 2,0 / 2,20.9,0 / 10,0 / 12,0 / 2,0 / 2,20,2 / 13,0 / 8,0 / 2,1 / 1,16,1 / 13,0 / 8,0 / 2,1 / 1,IN,43,10,12,2,2,,25,13,8,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,INDIANA,IN
185,Indiana Fertility Institute,INDIANAPOLIS,IN,"John C. Jarrett II, MD",47.4,47.2,27.3,3 / 11,1 / 12,31.1,28.3,22.7,1 / 11,1 / 12,26.8,7 / 15,5 / 8,1 / 3,,26.8,5 / 15,5 / 8,1 / 3,,IN,209,53,44,11,12,,41,15,8,3,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,INDIANA,IN
186,Indiana University Hospital,INDIANAPOLIS,IN,"Marguerite K. Shepard, MD",,0 / 1,,,,,0 / 1,,,,,1 / 1,1 / 4,,0 / 1,,1 / 1,1 / 4,,0 / 1,IN,0,1,0,0,0,,0,1,4,0,1,No,No,Yes,No,Yes,No,Yes,INDIANA,IN
187,"Henry Fertility, dba Reproductive Care of Indiana",INDIANAPOLIS,IN,"Michael A. Henry, MD",63.2,7 / 13,9 / 15,1 / 3,2 / 4,36.8,2 / 13,5 / 15,1 / 3,0 / 4,2 / 3,1 / 1,,0 / 1,,0 / 3,0 / 1,,0 / 1,,IN,68,13,15,3,4,,3,1,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,INDIANA,IN
188,Boston IVF at the Women's Hospital,NEWBURGH,IN,"Daniel W. Griffin, MD",42,4 / 12,5 / 16,0 / 1,0 / 4,26.1,2 / 12,5 / 16,0 / 1,0 / 4,53.3,6 / 19,42.9,1 / 3,,33.7,2 / 19,42.9,0 / 3,,IN,69,12,16,1,4,,92,19,21,3,0,No,No,Yes,Yes,Yes,Yes,Yes,INDIANA,IN
189,"Mid-Iowa Fertility, PC",CLIVE,IA,"Donald C. Young, DO",54.9,9 / 12,1 / 6,,0 / 1,29.6,6 / 12,1 / 6,,0 / 1,56.2,69.4,51.6,2 / 5,0 / 1,43.8,55.1,38.7,2 / 5,0 / 1,IA,71,12,6,0,1,,153,49,31,5,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,IOWA,IA
190,"University of Iowa Hospitals and Clinics, Center for Advanced Reproductive Care",IOWA CITY,IA,"Bradley J. Van Voorhis, MD",60,46.9,32.5,29.2,0 / 5,49.7,38.8,20,25,0 / 5,53.4,48.3,37.8,4 / 11,2 / 7,44.4,39.7,33.3,4 / 11,1 / 7,IA,175,49,40,24,5,,178,58,45,11,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,IOWA,IA
191,"Midwest Reproductive Center, PA",OLATHE,KS,"Dan L. Gehlbach, MD",1 / 1,,,0 / 1,,1 / 1,,,0 / 1,,40.6,44.4,21.7,0 / 1,1 / 4,30,31.1,17.4,0 / 1,1 / 4,KS,1,0,0,1,0,,170,45,23,1,4,Yes,No,Yes,Yes,Yes,Yes,Yes,KANSAS,KS
192,Center for Advanced Reproductive Medicine,OVERLAND PARK,KS,"Courtney A. Marsh, MD",69.6,6 / 9,0 / 1,,,60.9,3 / 9,0 / 1,,,54.3,40,37.5,4 / 7,,43.3,34,37.5,3 / 7,,KS,23,9,1,0,0,,164,50,32,7,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,KANSAS,KS
193,Reproductive Resource Center of Greater Kansas City,OVERLAND PARK,KS,"Celeste Brabec, MD",70.6,6 / 15,3 / 6,0 / 1,0 / 2,44.1,4 / 15,1 / 6,0 / 1,0 / 2,60.3,44.4,4 / 8,0 / 2,1 / 3,46.2,25.9,1 / 8,0 / 2,1 / 3,KS,68,15,6,1,2,,78,27,8,2,3,Yes,No,Yes,Yes,Yes,Yes,Yes,KANSAS,KS
194,The Center for Reproductive Medicine,WICHITA,KS,"Bruce L. Tjaden, DO",48.4,5 / 14,3 / 11,1 / 2,0 / 1,27.4,0 / 14,2 / 11,0 / 2,0 / 1,32.7,5 / 18,1 / 7,2 / 4,0 / 1,21.2,3 / 18,1 / 7,2 / 4,0 / 1,KS,62,14,11,2,1,,52,18,7,4,1,Yes,No,Yes,Yes,Yes,Yes,Yes,KANSAS,KS
195,Bluegrass Fertility Center,LEXINGTON,KY,"James W. Akin, MD",39.1,23.8,5 / 10,1 / 3,1 / 3,26.1,14.3,3 / 10,0 / 3,1 / 3,29.6,2 / 5,0 / 7,0 / 2,1 / 1,18.5,1 / 5,0 / 7,0 / 2,0 / 1,KY,69,21,10,3,3,,27,5,7,2,1,Yes,No,Yes,Yes,Yes,No,No,KENTUCKY,KY
196,The Lexington Fertility Center,LEXINGTON,KY,"George M. Veloudis, DO",6 / 11,1 / 2,0 / 2,,0 / 1,3 / 11,1 / 2,0 / 2,,0 / 1,1 / 3,1 / 4,0 / 2,,0 / 1,1 / 3,0 / 4,0 / 2,,0 / 1,KY,11,2,2,0,1,,3,4,2,0,1,Yes,Yes,Yes,Yes,Yes,Yes,No,KENTUCKY,KY
197,"Fertility and Endocrine Associates, Louisville Reproductive Center",LOUISVILLE,KY,"Robert J. Homm, MD",50,5 / 7,1 / 3,1 / 1,,32.1,3 / 7,1 / 3,1 / 1,,34.7,25,19,0 / 5,0 / 1,28.6,15,19,0 / 5,0 / 1,KY,28,7,3,1,0,,49,20,21,5,1,Yes,Yes,Yes,Yes,Yes,Yes,No,KENTUCKY,KY
198,"Fertility First, Reproductive Endocrine Services",LOUISVILLE,KY,"Johanna S. Archer, MD",45,0 / 2,2 / 4,,,25,0 / 2,2 / 4,,,7 / 8,,4 / 5,,,2 / 8,,2 / 5,,,KY,20,2,4,0,0,,8,0,5,0,0,No,No,Yes,Yes,Yes,No,No,KENTUCKY,KY
199,"Kentucky Fertility Institute, LLC",LOUISVILLE,KY,"Robert K. Hunter, MD",2 / 5,,,,,1 / 5,,,,,9 / 19,1 / 3,0 / 1,,,6 / 19,1 / 3,0 / 1,,,KY,5,0,0,0,0,,19,3,1,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,KENTUCKY,KY
